iter   i     a     b      Smsy      Emin
518 20 1.932079 71758.35 26237.24 19050.44
519 20 1.962009 68219.03 24796.71 19050.44
520 20 1.773873 61931.93 23350.43 18680.34
521 20 1.319299 178721.7 73270.45 19050.44
522 20 1.809065 65545.72 24546.29 19050.44
523 20 1.387287 71490.5 28957.41 19050.44
524 20 1.124667 102475.1 43446.46 19050.44
525 20 2.744456 44510.85 13780.05 11024.04
526 20 1.902363 68913.57 25344.21 19050.44
527 20 1.824198 65816.33 24575.73 19050.44
528 20 1.611412 61552.22 23931.63 19050.44
529 20 1.587338 113901.4 44483.99 19050.44
530 20 1.816314 58133.48 21740.05 17392.04
531 20 1.427724 211340.2 84984.96 19050.44
532 20 1.179451 143756.3 60383.91 19050.44
533 20 1.972232 94080.33 34128.05 19050.44
534 20 1.249068 172491.5 71590.27 19050.44
535 20 1.671942 98808.33 37983.22 19050.44
536 20 1.813739 86596.94 32400.56 19050.44
537 20 1.437741 158381.6 63574.06 19050.44
538 20 1.343919 80292.14 32774.46 19050.44
539 20 1.049037 430423926716 184811414033 19050.44
540 20 1.525923 82519.96 32595.7 19050.44
541 20 1.864597 83567.37 30960.54 19050.44
542 20 2.3586 43547.97 14611.56 11689.25
543 20 1.259878 162856.8 67464.63 19050.44
544 20 1.469137 94500.21 37717.13 19050.44
545 20 1.75266 88046.64 33331.63 19050.44
546 20 1.779578 99877.71 37616.08 19050.44
547 20 1.99625 61910.5 22351.91 17881.52
548 20 1.174835 116193.2 48844.68 19050.44
549 20 2.005884 71667.79 25825.29 19050.44
550 20 1.826811 82011.26 30607.44 19050.44
551 20 2.081292 60454.91 21459.93 17167.94
552 20 1.725812 76395.13 29069.18 19050.44
553 20 1.957757 68591.67 24953.06 19050.44
554 20 1.176776 145037248169 60949806014 19050.44
555 20 1.094208 20414780391 8699732571 19050.44
556 20 1.375734 154631.9 62763.35 19050.44
557 20 1.761065 65757.81 24853.81 19050.44
558 20 2.09511 67437.87 23872.53 19050.44
559 20 1.5627 81517.73 31982.32 19050.44
560 20 1.877389 65891.73 24351.27 19050.44
561 20 1.851553 52919.02 19655.49 15724.4
562 20 1.696005 70115.69 26831.13 19050.44
563 20 1.958586 59813.1 21755.93 17404.75
564 20 1.26543 110821.4 45864.25 19050.44
565 20 1.76162 113233.5 42793.18 19050.44
566 20 1.416149 95901.89 38644.86 19050.44
567 20 1.980348 78561.07 28452.72 19050.44
568 20 1.651033 77441.26 29886.81 19050.44
569 20 1.012818 5448946257 2353654357 19050.44
570 20 1.622878 112253.2 43550.91 19050.44
571 20 1.635047 80859.67 31299.8 19050.44
572 20 1.62383 62262.81 24151.83 19050.44
573 20 1.387008 135011.6 54689.53 19050.44
574 20 1.741136 71874.47 27269.29 19050.44
575 20 1.295357 106768.1 43956.24 19050.44
576 20 1.56194 62220.16 24414.62 19050.44
577 20 1.539498 91810.03 36174.89 19050.44
578 20 2.570327 46420.5 14905.96 11924.77
579 20 1.119217 143542.7 60913.91 19050.44
